city_std,city_clean,n_extreme_events,total_affected_grids,total_reports,population_exposure_total,population_exposure_uncovered,road_exposure_total,road_exposure_uncovered,function_exposure_total,function_exposure_uncovered,population_outside_share,road_outside_share,function_outside_share
三亚,三亚市,3,26,44.0,1890.633427619934,750.5671310424805,44.9266153075128,21.297558456497892,20335.0,13214.0,0.39699241538712693,0.47405214727886336,0.6498155888861569
三明,三明市,1,7,11.0,156.44375264644623,83.7808643579483,13.411406642308195,5.663472963237421,5254.0,3062.0,0.5355334613283548,0.42228776699464077,0.5827940616673011
上海,上海,4,62,126.0,12936.720552802086,12278.918016791344,251.88536870741055,237.56648726818617,79904.0,71596.0,0.9491522961073575,0.9431531830820346,0.8960252302763316
上饶,上饶市,2,30,54.0,1839.8764328956604,1643.68226480484,42.65240928517018,38.60723484069737,19098.0,17308.0,0.893365573587981,0.9051595323155808,0.9062729081579223
东莞,东莞市,4,57,98.0,4488.6570917367935,2746.2184377908707,155.17393030641503,105.23310994801611,24623.0,14932.0,0.6118129279348176,0.6781623030377395,0.6064248873004914
中山,中山市,3,21,27.0,1096.203712463379,930.2169303894043,47.343854810730434,37.27180609075471,9648.0,8454.0,0.8485803503611836,0.7872575277141796,0.8762437810945274
临沂,临沂市,3,76,189.0,3316.659758388996,3144.902341902256,229.6397870976338,209.4557155006581,29201.0,24265.0,0.9482137364098607,0.9121055116272415,0.8309646929899661
丽水,丽水市,1,8,17.0,364.9928538799286,337.65672183036804,12.79042512218782,12.79042512218782,9597.0,7567.0,0.9251050212107624,1.0,0.788475565280817
乌海,乌海市,2,41,187.0,630.893881291151,588.0543371140957,53.59907169629796,37.93705162761379,10551.0,9974.0,0.9320970682274135,0.7077930722862513,0.9453132404511421
乐山,乐山市,2,18,69.0,1534.5527617931366,1078.9217908382416,29.208565728316323,14.74388663308471,15312.0,5186.0,0.7030854967655288,0.5047795489249651,0.33868861024033436
九江,九江市,3,26,38.0,1312.8806659281254,1120.9466334879398,77.45317312371849,54.147022191277415,13207.0,10808.0,0.853806947256322,0.6990936588845316,0.818353903233134
伊春,伊春市,1,4,11.0,24.90408724918961,24.90408724918961,3.243636585097585,3.243636585097585,1244.0,1244.0,1.0,1.0,1.0
佛山,佛山市,3,130,328.0,10216.28516292572,7212.508754730225,431.79686569511887,327.46823716293454,94185.0,59018.0,0.7059815421856059,0.7583849332388434,0.6266178266178266
保定,保定市,3,31,55.0,2086.2552132606506,1507.3716180324557,40.316874927362136,26.932145437990933,13138.0,10225.0,0.72252503358712,0.6680117317255834,0.7782767544527325
信阳,信阳市,2,14,24.0,412.23477309942245,355.98584121465683,19.70422875982658,16.339064176026966,5202.0,4959.0,0.863551219947184,0.8292161228527458,0.9532871972318339
儋州,儋州市,1,5,8.0,153.35023736953735,153.35023736953735,3.033560678583777,3.033560678583777,1305.0,1305.0,1.0,1.0,1.0
六安,六安市,3,68,188.0,2122.886036545038,1968.7770220339298,181.4332049594903,168.49605169698265,26123.0,23436.0,0.9274058937417488,0.9286946771105311,0.8971404509436129
兰州,兰州市,2,72,543.0,9465.040643930435,7983.775241136551,232.70697570960738,198.1588598005252,45698.0,39414.0,0.8435014218619586,0.851538116535903,0.8624885115322334
北京,北京,6,805,2572.0,77729.13809382915,60417.5478194952,1881.4438530734133,1428.358418033985,392601.0,297946.0,0.7772831308969795,0.7591820588749989,0.7589028046286178
北海,北海市,3,28,45.0,1081.8763937950134,509.56374502182007,123.61061713621174,59.737821821829954,23934.0,10217.0,0.4709999663033305,0.48327419768483426,0.4268822595470878
南京,南京市,6,152,294.0,17655.35996425152,7992.309238314629,529.6691452433485,291.3169122343537,143779.0,60835.0,0.4526845815943382,0.5499978899101486,0.42311464122020603
南充,南充市,1,12,22.0,1611.8972034454346,1597.0387210845947,23.90064743890377,22.252707404619944,12359.0,11295.0,0.9907819913521285,0.9310504019400986,0.9139088923052027
南宁,南宁市,6,127,281.0,13580.06916134688,8291.127398164477,385.2513483605995,254.52194532607703,131406.0,90123.0,0.6105364633755781,0.6606646450665805,0.6858362631843294
南平,南平市,1,9,22.0,275.86001455783844,275.86001455783844,7.5608624964701185,7.5608624964701185,6532.0,6532.0,1.0,1.0,1.0
南昌,南昌市,6,282,748.0,36614.92574778199,12376.017532497644,1099.1355280934085,512.3173031789668,301175.0,86544.0,0.3380047147370589,0.46610931053029175,0.2873545280982817
南通,南通市,1,10,14.0,1251.6711893081665,1251.6711893081665,23.764445801065165,23.764445801065165,5549.0,5549.0,1.0,1.0,1.0
南阳,南阳市,3,52,172.0,2301.6724989414215,1765.8822157382965,138.4653776360745,106.69780666498865,34729.0,21965.0,0.7672169765900474,0.7705739043692218,0.6324685421405741
厦门,厦门市,7,112,368.0,40286.2703127861,5708.940559267998,495.31937855037853,193.53234394927853,145955.0,46493.0,0.14170933459323207,0.3907223345787076,0.318543386660272
台州,台州市,1,108,217.0,4585.068252801895,4478.054069757462,290.8875298556535,287.174721201378,63381.0,60843.0,0.97666028570479,0.9872362742530837,0.9599564538268567
合肥,合肥市,3,79,240.0,6839.692100048065,4141.070959329605,317.3021513388592,203.71062231135812,51027.0,31243.0,0.6054469848577693,0.6420083237753018,0.6122836929468712
吉安,吉安市,1,15,26.0,171.90827526524663,171.90827526524663,24.875030173932508,24.875030173932508,5759.0,5759.0,1.0,1.0,1.0
吉林,吉林市,2,23,47.0,911.3704600390047,749.885039811954,74.64804236756521,59.255560350765435,9040.0,7279.0,0.8228103418886986,0.7937992540915199,0.8051991150442478
周口,周口市,1,16,19.0,932.1706280708312,846.8609070777893,43.33047349673953,40.19560741796749,13125.0,12376.0,0.9084827193390612,0.9276521619592287,0.9429333333333333
呼伦贝尔,呼伦贝尔市,1,1,1.0,9.46131992340088,9.46131992340088,1.014072046741782,1.014072046741782,26.0,26.0,1.0,1.0,1.0
呼和浩特,呼和浩特市,3,72,104.0,6265.1659494787455,5772.695360437036,233.3839100245745,214.788698359816,38073.0,36577.0,0.9213954437898516,0.9203235061800084,0.9607070627478791
咸宁,咸宁市,2,33,83.0,1567.6714108586311,1558.4798014760015,34.68331106588911,26.978140800817748,14723.0,11396.0,0.9941367755264509,0.7778421370891154,0.7740270325341303
咸阳,咸阳市,2,19,31.0,541.0715432167053,389.5959801673889,43.18302464193448,36.837717563037046,8784.0,5465.0,0.720045223319666,0.8530601519575916,0.6221539162112932
哈尔滨,哈尔滨市,2,43,53.0,4094.318450927735,3372.0723066329956,129.5844633832004,107.02593013794929,33923.0,26783.0,0.8235979558133577,0.8259163741061906,0.7895233322524541
唐山,唐山市,2,27,27.0,1468.4509298801422,1145.8613584041595,58.47810662858952,49.7675017440152,15229.0,13626.0,0.7803198153156449,0.851045025450332,0.8947402981154376
商丘,商丘市,4,101,330.0,3164.9408537447453,1735.5171755850313,209.80624736747407,120.55136338994855,59535.0,31159.0,0.5483569064273585,0.5745842409487633,0.5233728059124885
嘉兴,嘉兴市,2,11,16.0,436.0984926223755,436.0984926223755,19.54818232851581,19.54818232851581,5583.0,5583.0,1.0,1.0,1.0
大庆,大庆市,1,10,12.0,184.4845553636551,184.4845553636551,19.361536726361564,19.361536726361564,3232.0,3232.0,1.0,1.0,1.0
大连,大连市,3,235,597.0,18972.504129230976,10629.940152943134,616.6823695457399,397.49692354335036,197877.0,117180.0,0.5602813461279244,0.6445731922515545,0.5921860549735442
天津,天津,5,411,1087.0,54180.52302444074,34913.47354114149,1298.9088767088315,853.5394515693039,332715.0,175386.0,0.6443915929972119,0.657120346834489,0.5271358369775935
太原,太原市,4,237,631.0,25636.35275876522,17701.039090514183,880.9465532587354,583.8606672203945,173263.0,120289.0,0.690466356781664,0.6627651417224101,0.6942567080103658
威海,威海市,1,20,32.0,1905.3496680259705,1464.212674617767,75.82489111203449,68.5737831412398,10863.0,9006.0,0.768474521600415,0.9043703477255131,0.8290527478597073
孝感,孝感市,2,34,99.0,2930.8265221118927,1455.1945641040802,30.016807362683267,21.5214905706846,21678.0,11849.0,0.49651337365935166,0.716981333512504,0.5465910139311745
宁德,宁德市,2,13,30.0,630.1681771278381,369.4612965583801,25.974879634833812,16.70613256941285,13008.0,6517.0,0.5862899936367779,0.6431649657005134,0.5009993849938499
宁波,宁波市,5,358,872.0,21184.350751519203,12034.514540195465,1355.1254612342263,800.0020958627326,201078.0,98856.0,0.5680851247863912,0.5903527892790854,0.49163011368722587
安庆,安庆市,2,42,104.0,1440.5653112083673,1100.6146910339594,96.04580430099546,66.31237910437613,23334.0,16705.0,0.7640158224487216,0.6904245280362429,0.7159081169109454
安阳,安阳市,2,158,343.0,7194.442921578884,5254.677011907101,378.6014081186895,293.35107769567435,71405.0,54156.0,0.7303799709281612,0.7748282795707679,0.7584342833134935
安顺,安顺市,1,1,1.0,12.42518711090088,12.42518711090088,2.5601580998348,2.5601580998348,91.0,91.0,1.0,1.0,1.0
宜宾,宜宾市,2,15,82.0,1070.914962053299,1000.7514183521271,25.899017815681013,24.822580134891354,9741.0,8843.0,0.9344826188938055,0.9584371234287536,0.9078123395955241
宜昌,宜昌市,2,51,240.0,3889.4615539312363,2792.4296268224716,123.96990817755604,90.1189410074139,32881.0,22275.0,0.7179476099975972,0.7269420646689594,0.6774429001551048
宜春,宜春市,1,4,46.0,233.30881643295288,17.903741359710693,8.915603820860682,7.825225541108725,598.0,321.0,0.07673838320145858,0.8777000075754043,0.5367892976588629
宝鸡,宝鸡市,3,26,40.0,1491.5848994255066,930.0200996398926,67.48511022095676,38.70228187186891,17600.0,6930.0,0.6235113401845888,0.5734936454152867,0.39375
宣城,宣城市,2,8,18.0,449.2765693664551,231.86983108520508,17.585550869343642,15.865130332695076,6863.0,4790.0,0.5160959793923263,0.9021685161055873,0.6979455048812473
岳阳,岳阳市,2,31,79.0,2713.8119235038757,1516.2916955947876,98.24945366122019,73.26249791736598,21638.0,15080.0,0.5587313116514951,0.7456784255512175,0.6969220815232462
崇左,崇左市,1,4,10.0,71.65605379641056,71.65605379641056,2.575266290514956,2.575266290514956,4642.0,4642.0,1.0,1.0,1.0
巴中,巴中市,1,4,10.0,114.8636245727539,114.8636245727539,0.7515366615745318,0.7515366615745318,942.0,942.0,1.0,1.0,1.0
常州,常州市,2,25,33.0,1095.765650421381,1032.0799509584904,57.77786889651057,53.76088351614704,10210.0,9663.0,0.9418801826481784,0.9304753626763459,0.9464250734573947
平顶山,平顶山市,2,11,18.0,430.4052724838257,430.4052724838257,14.124640182268791,14.124640182268791,5984.0,5984.0,1.0,1.0,1.0
广元,广元市,2,5,12.0,31.546332895755775,26.66439729928971,3.4273263567564958,2.4074155831945796,1094.0,473.0,0.8452455436706915,0.702417958665855,0.4323583180987203
广安,广安市,2,6,18.0,229.28780126571655,229.28780126571655,7.051111045614574,7.051111045614574,3307.0,3307.0,1.0,1.0,1.0
广州,广州市,6,362,917.0,61198.70376718044,43072.42375028134,1355.1819851250727,974.4742814100715,398675.0,295475.0,0.703812680643412,0.7190726353406588,0.7411425346460149
庆阳,庆阳市,1,3,3.0,242.5778369903565,53.51657295227052,6.467179567708969,4.457981797124508,2098.0,386.0,0.22061608602107385,0.6893239549715751,0.18398474737845566
廊坊,廊坊市,2,48,160.0,1925.2267548143864,1365.7202418744564,68.89874711129909,53.22934919547398,27404.0,17453.0,0.7093814993268818,0.7725735434562728,0.6368778280542986
延安,延安市,1,4,4.0,257.36172914505005,257.36172914505005,8.90480941681624,8.90480941681624,2251.0,2251.0,1.0,1.0,1.0
开封,开封市,2,34,181.0,2201.6763772964478,876.765154838562,30.3318458717934,22.18555293699766,20029.0,11272.0,0.3982261716025619,0.7314277222286939,0.5627839632532827
张家界,张家界市,1,5,8.0,192.27002692222595,192.27002692222595,5.491902710310807,5.491902710310807,909.0,909.0,1.0,1.0,1.0
徐州,徐州市,2,27,36.0,1772.6253622174263,1350.7488283514977,72.28495318762585,61.39312801503277,25542.0,22870.0,0.7620046836415612,0.8493209901606799,0.8953879884112442
德州,德州市,2,17,28.0,975.2778548002243,805.1651228666306,46.813411025871794,35.74488449680453,11115.0,8891.0,0.8255751106248181,0.7635607769972123,0.7999100314889789
德阳,德阳市,3,94,303.0,4388.930569827557,3524.152467906475,46.39395613280917,30.71923269731841,45362.0,32248.0,0.8029638226983711,0.6621386761969668,0.7109033993210175
怀化,怀化市,2,22,27.0,1006.2664301991462,1000.1655386090277,18.130889347188518,17.02490493809669,6793.0,6308.0,0.9939371011423773,0.938999991235216,0.928602973649345
恩施土家族苗族,恩施土家族苗族自治州,1,14,214.0,314.08033895492554,314.08033895492554,4.789927172117391,4.789927172117391,12712.0,12712.0,1.0,1.0,1.0
惠州,惠州市,3,91,210.0,7191.200617432594,5367.90494120121,195.86220623217315,148.95023038919769,68248.0,45952.0,0.7464546223600784,0.7604847982393986,0.6733091079592076
成都,成都市,5,665,2813.0,52298.89126467705,37906.3682513237,1420.1083667702758,1000.4742021643754,477904.0,350528.0,0.7248025213285136,0.7045055332219005,0.7334694834108942
扬州,扬州市,2,17,35.0,733.270023226738,404.8603638410568,44.076529753585795,34.25227773352357,11571.0,6590.0,0.5521299807940846,0.7771092217335239,0.5695272664419669
抚州,抚州市,1,8,15.0,531.7251653671265,204.410231590271,17.008935283260815,11.108961794024626,5171.0,2071.0,0.3844283567980785,0.6531250550972116,0.4005028040997873
揭阳,揭阳市,1,16,16.0,908.655595779419,834.2888660430908,20.546064536583454,20.283879028514463,8442.0,8333.0,0.9181574074030343,0.9872391373247098,0.9870883676853827
新乡,新乡市,3,304,2519.0,11618.806150399148,9288.363207183778,639.3592123252366,488.548081637207,116356.0,78474.0,0.7994249225738815,0.7641214394337791,0.6744301969816769
无锡,无锡市,3,55,116.0,2564.9049831032753,2021.5274257063866,224.49914164343198,174.28504992336647,28185.0,20138.0,0.788149049973985,0.7763283576388026,0.7144935249246053
昆明,昆明市,7,441,2929.0,41718.16733944416,22908.477493405342,1223.6074252489914,683.6647705922709,447478.0,246596.0,0.5491247328054504,0.5587288508429509,0.5510796061482353
晋城,晋城市,1,13,24.0,612.6103734970093,580.4211378097534,25.775994911918552,21.701357193921325,6238.0,5861.0,0.9474556144005404,0.841921224304977,0.9395639628085924
景德镇,景德镇市,3,79,340.0,3674.6434448082,1402.9836738426238,158.13974605810125,96.83539528226883,38083.0,20379.0,0.38180130804931833,0.6123406524675402,0.5351206575112255
杭州,杭州市,7,173,385.0,15316.115864634514,11428.51358783245,702.7732602051627,525.370668089398,148969.0,92885.0,0.7461757072640928,0.7475678114674211,0.6235189871718277
枣庄,枣庄市,2,17,32.0,647.0872859954834,268.82106590270996,36.43805018780101,12.097564074817557,10718.0,7692.0,0.41543246439953435,0.3320036064626659,0.7176712073147975
柳州,柳州市,3,43,163.0,3069.0780096054077,2419.6622762680054,119.67901029257615,106.56479865611705,40920.0,29364.0,0.7884003823607931,0.8904217907183629,0.7175953079178886
株洲,株洲市,3,58,163.0,2900.106799840927,2136.6830637454987,93.57265813608122,71.89753347669296,30951.0,19808.0,0.7367601303037175,0.768360490220696,0.639979322154373
桂林,桂林市,3,83,287.0,4231.53746676445,2384.5346167087555,178.28053451112885,120.29802943176249,78700.0,45480.0,0.5635149482752982,0.6747681667078079,0.5778907242693774
梅州,梅州市,2,6,38.0,306.6373863220215,306.6373863220215,12.680468036484415,12.680468036484415,5697.0,5697.0,1.0,1.0,1.0
