city_std,city_clean,n_extreme_events,total_reports,total_affected_grids,baseline_value,baseline_total,stress_value,stress_total,mean_peak_rain,max_peak_rain,mean_tail_weight,max_tail_weight,metric,metric_label,unit,value_scale,baseline_ratio,stress_ratio,baseline_value_plot,stress_value_plot,gdp_per_capita,region,gdp_missing,city_label,baseline_rank_value,stress_rank_value,baseline_rank_ratio,stress_rank_ratio,emerging_value_flag,emerging_ratio_flag
三亚,三亚市,3,44.0,26,18.0,26.0,24.039402971184778,33.45639035733897,75.77968088785808,90.66284942626952,1.3550662074923316,1.8893042406383986,uncovered_impact_space,Uncovered impact space,km^2,1.0,69.23076923076923,71.85294861288439,18.0,24.039402971184778,66866.0,华南,False,Sanya,104.0,88.0,142.0,135.0,False,False
三明,三明市,1,11.0,7,5.0,7.0,5.0,7.0,51.83521270751954,51.83521270751954,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,71.42857142857143,71.42857142857143,5.0,5.0,108521.0,华东,False,Sanming,161.0,161.0,135.0,136.0,False,False
上海,上海,4,126.0,62,58.0,62.0,61.52547469410954,65.87802216352048,68.92889022827148,78.74647521972656,1.0881368673527385,1.3525474694109538,uncovered_impact_space,Uncovered impact space,km^2,1.0,93.54838709677419,93.39302042400851,58.0,61.52547469410954,155549.0,华东,False,Shanghai,44.0,47.0,46.0,47.0,False,False
上饶,上饶市,2,54.0,30,28.0,30.0,34.44011592604352,36.8998737306091,76.02314758300781,76.06207275390625,1.229878902282791,1.231632233345477,uncovered_impact_space,Uncovered impact space,km^2,1.0,93.33333333333333,93.33396687879403,28.0,34.44011592604352,40436.0,华东,False,Shangrao,71.0,73.0,47.0,48.0,False,False
东莞,东莞市,4,98.0,57,38.0,57.0,38.15673188574811,57.15673188574811,62.82234001159668,72.65945434570312,1.0195914857185135,1.0783659428740546,uncovered_impact_space,Uncovered impact space,km^2,1.0,66.66666666666666,66.75807140621768,38.0,38.15673188574811,92081.0,华南,False,Dongguan,60.0,66.0,151.0,151.0,False,False
中山,中山市,3,27.0,21,18.0,21.0,18.0,21.0,58.64549763997396,66.0999984741211,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,85.71428571428571,85.71428571428571,18.0,18.0,71142.0,华南,False,Zhongshan,103.0,112.0,77.0,77.0,False,False
临沂,临沂市,3,189.0,76,68.0,76.0,75.8207293389849,84.54823904493699,60.42700449625651,74.95748138427734,1.0606258088293403,1.1818774264880212,uncovered_impact_space,Uncovered impact space,km^2,1.0,89.47368421052632,89.67747902908604,68.0,75.8207293389849,43565.0,华东,False,Linyi,35.0,34.0,60.0,59.0,False,False
丽水,丽水市,1,17.0,8,7.0,8.0,7.0,8.0,58.64066696166992,58.64066696166992,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,87.5,87.5,7.0,7.0,61355.0,华东,False,Lishui,149.0,154.0,69.0,68.0,False,False
乌海,乌海市,2,187.0,41,31.0,41.0,31.0,41.0,21.711000442504883,25.23545455932617,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,75.60975609756098,75.60975609756098,31.0,31.0,100561.0,华北,False,Wuhai,68.0,77.0,115.0,117.0,False,False
乐山,乐山市,2,69.0,18,9.0,18.0,9.0,18.0,55.22667121887208,57.51617813110352,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,50.0,50.0,9.0,9.0,63399.0,西南,False,Leshan,146.0,147.0,176.0,176.0,False,False
