city_std,city_clean,number_of_extreme_events,median_uncovered_impact_share,mean_uncovered_impact_share,median_population_exposure_outside,median_road_exposure_outside,median_function_exposure_outside,proportion_events_uncovered_share_gt_25,proportion_events_uncovered_share_gt_50
中山,中山市,3,1.0,0.9,1.0,1.0,1.0,1.0,1.0
池州,池州市,3,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,1.0
赣州,赣州市,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
嘉兴,嘉兴市,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
平顶山,平顶山市,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
广安,广安市,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
梅州,梅州市,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
湖州,湖州市,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
漳州,漳州市,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
驻马店,驻马店市,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
伊春,伊春市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
儋州,儋州市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
南平,南平市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
南通,南通市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
吉安,吉安市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
呼伦贝尔,呼伦贝尔市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
大庆,大庆市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
安顺,安顺市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
崇左,崇左市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
巴中,巴中市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
延安,延安市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
张家界,张家界市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
恩施土家族苗族,恩施土家族苗族自治州,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
梧州,梧州市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
永州,永州市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
淮南,淮南市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
湛江,湛江市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
滁州,滁州市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
漯河,漯河市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
盐城,盐城市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
绍兴,绍兴市,1,1.0,1.0,1.0,,1.0,1.0,1.0
茂名,茂名市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
荆门,荆门市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
连云港,连云港市,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
台州,台州市,1,0.9907407407407407,0.9907407407407407,0.97666028570479,0.9872362742530836,0.9599564538268567,1.0,1.0
鄂尔多斯,鄂尔多斯市,2,0.9722222222222222,0.9722222222222222,0.9751171066631592,0.9581608611542055,0.9688768606224628,1.0,1.0
榆林,榆林市,2,0.9666666666666667,0.9666666666666667,0.9849965197024411,0.9258345417141602,0.9716643313093569,1.0,1.0
衢州,衢州市,2,0.9642857142857143,0.9642857142857143,0.9466831315713913,0.9156083911093535,0.9162611696009909,1.0,1.0
黄冈,黄冈市,2,0.9583333333333333,0.9583333333333333,0.9967736072696276,0.9893226658507044,0.9917956174057534,1.0,1.0
黄山,黄山市,2,0.9583333333333333,0.9583333333333333,0.9733816463302939,0.9624132362638884,0.977206946454414,1.0,1.0
信阳,信阳市,2,0.9545454545454546,0.9545454545454546,0.9030193580092806,0.9033645894463894,0.9750410846343467,1.0,1.0
威海,威海市,1,0.95,0.95,0.7684745216004151,0.9043703477255131,0.8290527478597073,1.0,1.0
