city_std,city_clean,n_historical_events,low_history_city,mean_jaccard,median_jaccard,mean_overlap_coefficient,median_overlap_coefficient,split_reps
北海,北海市,12,False,0.4491190476190476,0.5,0.6686666666666666,0.6666666666666666,100.0
萍乡,萍乡市,8,False,0.3673611111111111,0.375,0.6928333333333333,0.6666666666666666,100.0
郑州,郑州市,33,False,0.2587294746133604,0.2620499419279907,0.6583723338689978,0.6575342465753424,100.0
南昌,南昌市,23,False,0.4245475152233812,0.41935483870967744,0.6472674292086567,0.6436507936507937,100.0
海口,海口市,28,False,0.4400326607426939,0.4375,0.6455580651232825,0.6363636363636364,100.0
潍坊,潍坊市,7,False,0.22771200510855685,0.21428571428571427,0.618544955044955,0.6,100.0
秦皇岛,秦皇岛市,12,False,0.3322019230769231,0.38461538461538464,0.5541269841269841,0.5555555555555556,100.0
景德镇,景德镇市,9,False,0.3558318713450293,0.35294117647058826,0.5927110389610389,0.5555555555555556,100.0
德阳,德阳市,11,False,0.28942829996090863,0.2727272727272727,0.5955280275280276,0.5555555555555556,100.0
商丘,商丘市,13,False,0.3045070726237709,0.29411764705882354,0.574889705023219,0.55,100.0
襄阳,襄阳市,14,False,0.2908181182534729,0.2857142857142857,0.5504315684315684,0.5384615384615384,100.0
保定,保定市,11,False,0.18506116768984415,0.18181818181818182,0.5085817760670701,0.5333333333333333,100.0
新乡,新乡市,9,False,0.1283274726682686,0.1346153846153846,0.5537898383436309,0.5294117647058824,100.0
石家庄,石家庄市,23,False,0.2997794340238096,0.29933358015549794,0.5266780199372383,0.5277777777777778,100.0
昆明,昆明市,27,False,0.31922183118726255,0.3188405797101449,0.5233738206378579,0.5244047619047619,100.0
长春,长春市,18,False,0.29399924098758856,0.2978723404255319,0.48905836423358495,0.5,100.0
厦门,厦门市,28,False,0.2833292068322064,0.2826086956521739,0.503636483206948,0.5,100.0
珠海,珠海市,17,False,0.2722665553269206,0.27698863636363635,0.5079220241402904,0.5,100.0
马鞍山,马鞍山市,9,False,0.2521590920259651,0.25,0.5199181096681096,0.5,100.0
舟山,舟山市,7,False,0.2515384615384615,0.2857142857142857,0.4779960317460317,0.5,100.0
沧州,沧州市,6,False,0.2607142857142857,0.25,0.4750000000000001,0.5,100.0
宜春,宜春市,4,False,0.1825,0.25,0.53,0.5,100.0
蚌埠,蚌埠市,5,False,0.3131818181818182,0.3,0.5549999999999999,0.5,100.0
孝感,孝感市,5,False,0.28,0.25,0.5766666666666667,0.5,100.0
岳阳,岳阳市,5,False,0.1613888888888889,0.125,0.4100000000000001,0.5,100.0
益阳,益阳市,4,False,0.2161904761904762,0.16666666666666666,0.45,0.5,100.0
渭南,渭南市,7,False,0.28927020202020204,0.3,0.5355,0.5,100.0
石嘴山,石嘴山市,4,False,0.18857142857142847,0.2857142857142857,0.33,0.5,100.0
滁州,滁州市,4,False,0.17,0.25,0.34,0.5,100.0
乌海,乌海市,5,False,0.23030303030303034,0.18181818181818182,0.48783333333333334,0.5,100.0
淮北,淮北市,5,False,0.21105311355311354,0.23076923076923078,0.5295000000000001,0.5,100.0
新余,新余市,4,False,0.16433333333333336,0.16666666666666666,0.365,0.5,100.0
福州,福州市,19,False,0.26908126935726545,0.27586206896551724,0.49798973398668367,0.4864864864864865,100.0
大连,大连市,10,False,0.21558677917656482,0.21784313725490195,0.4578141805160802,0.4583333333333333,100.0
开封,开封市,8,False,0.21471917937135326,0.22233201581027667,0.43067354867354857,0.4444444444444444,100.0
绵阳,绵阳市,17,False,0.24308918254941617,0.23333333333333334,0.4511098682878869,0.4375,100.0
宝鸡,宝鸡市,9,False,0.21649954212454212,0.21428571428571427,0.41855158730158726,0.42857142857142855,100.0
安庆,安庆市,8,False,0.1936617647058824,0.18198529411764708,0.3888055555555555,0.42857142857142855,100.0
青岛,青岛市,17,False,0.2292847016048907,0.23214285714285715,0.4204910285838151,0.41935483870967744,100.0
天津,天津,19,False,0.20912500581397298,0.21495327102803738,0.4161860374705831,0.4187683284457478,100.0
武汉,武汉市,18,False,0.21088099085494424,0.2111111111111111,0.41750280360396386,0.4176356589147287,100.0
济南,济南市,25,False,0.2098539232123398,0.20825229230341763,0.40670686186375915,0.40625,100.0
宁波,宁波市,18,False,0.20458363247389694,0.20353982300884957,0.40770478409246913,0.4,100.0
桂林,桂林市,12,False,0.20916603404646886,0.2,0.3963727106227107,0.4,100.0
咸宁,咸宁市,5,False,0.20894444444444446,0.25,0.38549999999999995,0.4,100.0
佛山,佛山市,11,False,0.1707460479112493,0.16666666666666666,0.4041817988038644,0.3956521739130435,100.0
南宁,南宁市,21,False,0.2138517993908103,0.21052631578947367,0.3814343095881998,0.3849206349206349,100.0
银川,银川市,8,False,0.2045911067193676,0.20833333333333334,0.39330519480519494,0.38461538461538464,100.0
三亚,三亚市,12,False,0.21599684873949576,0.21428571428571427,0.39039682539682535,0.375,100.0
枣庄,枣庄市,8,False,0.14969362745098042,0.17647058823529413,0.3680634920634921,0.375,100.0
信阳,信阳市,8,False,0.19330402930402932,0.21428571428571427,0.412702380952381,0.375,100.0
成都,成都市,20,False,0.17071344911455413,0.184,0.3760091755074648,0.36954689146469966,100.0
济宁,济宁市,11,False,0.18486248823640128,0.18181818181818182,0.3630185647685647,0.36363636363636365,100.0
西安,西安市,26,False,0.1860453027040484,0.18947368421052632,0.34506063127228315,0.34545454545454546,100.0
株洲,株洲市,11,False,0.16596658312447787,0.15789473684210525,0.33828246753246743,0.3333333333333333,100.0
柳州,柳州市,10,False,0.12219001831501827,0.14285714285714285,0.342,0.3333333333333333,100.0
邢台,邢台市,11,False,0.15586408709520838,0.13636363636363635,0.35472885447885444,0.3333333333333333,100.0
清远,清远市,4,False,0.12399999999999999,0.2,0.20666666666666664,0.3333333333333333,100.0
钦州,钦州市,5,False,0.13566666666666666,0.16666666666666666,0.31,0.3333333333333333,100.0
太原,太原市,14,False,0.17582427027735317,0.1782106782106782,0.3311566900701339,0.3333333333333333,100.0
九江,九江市,9,False,0.1708762903762904,0.16666666666666666,0.33345238095238094,0.3333333333333333,100.0
阜阳,阜阳市,6,False,0.14438095238095236,0.14285714285714285,0.2816666666666666,0.3333333333333333,100.0
宜昌,宜昌市,8,False,0.15110049019607844,0.13333333333333333,0.36394444444444446,0.3333333333333333,100.0
濮阳,濮阳市,5,False,0.16941142191142192,0.15384615384615385,0.3374285714285714,0.3333333333333333,100.0
廊坊,廊坊市,6,False,0.166078431372549,0.17647058823529413,0.36782539682539683,0.3333333333333333,100.0
安阳,安阳市,6,False,0.14068682898379292,0.14285714285714285,0.3708838702147527,0.3333333333333333,100.0
淄博,淄博市,4,False,0.10479259259259259,0.08,0.35583333333333345,0.3333333333333333,100.0
