city_clean,city_std,Event_ID,city_grid_count,historical_inventory_grids,affected_grids,observed_covered_affected_grids,observed_impact_coverage_rate,observed_uncovered_impact_share,random_mean_impact_coverage_rate,random_median_impact_coverage_rate,random_q05_impact_coverage_rate,random_q95_impact_coverage_rate,coverage_lift,coverage_difference,empirical_p_value,random_reps
三亚市,三亚,268,384,12,7,1,0.14285714285714285,0.8571428571428571,0.027999999999999997,0.0,0.0,0.14285714285714285,5.1020408163265305,0.11485714285714285,0.182,500
三亚市,三亚,1283,384,13,12,4,0.3333333333333333,0.6666666666666666,0.03566666666666667,0.0,0.0,0.16666666666666666,9.345794392523363,0.29766666666666663,0.0,500
三亚市,三亚,2108,384,12,7,3,0.42857142857142855,0.5714285714285714,0.029428571428571422,0.0,0.0,0.14285714285714285,14.563106796116507,0.39914285714285713,0.002,500
三明市,三明,3682,459,3,7,2,0.2857142857142857,0.7142857142857143,0.004857142857142857,0.0,0.0,0.0,58.82352941176471,0.28085714285714286,0.0,500
上海,上海,689,5235,60,7,1,0.14285714285714285,0.8571428571428571,0.009428571428571427,0.0,0.0,0.14285714285714285,15.151515151515154,0.13342857142857142,0.062,500
上海,上海,1266,5235,59,17,1,0.058823529411764705,0.9411764705882353,0.01188235294117647,0.0,0.0,0.058823529411764705,4.9504950495049505,0.046941176470588236,0.186,500
上海,上海,4601,5235,60,11,1,0.09090909090909091,0.9090909090909091,0.01309090909090909,0.0,0.0,0.09090909090909091,6.944444444444445,0.07781818181818181,0.14,500
上海,上海,4711,5235,58,27,1,0.037037037037037035,0.9629629629629629,0.009999999999999998,0.0,0.0,0.037037037037037035,3.703703703703704,0.027037037037037037,0.236,500
上饶市,上饶,2357,1098,7,16,1,0.0625,0.9375,0.005625,0.0,0.0,0.0625,11.11111111111111,0.056875,0.084,500
上饶市,上饶,5398,1098,7,14,1,0.07142857142857142,0.9285714285714286,0.005714285714285713,0.0,0.0,0.07142857142857142,12.500000000000002,0.06571428571428571,0.08,500
东莞市,东莞,717,1719,33,2,0,0.0,1.0,0.013,0.0,0.0,0.0,0.0,-0.013,1.0,500
东莞市,东莞,3510,1719,33,13,4,0.3076923076923077,0.6923076923076923,0.016461538461538465,0.0,0.0,0.07692307692307693,18.691588785046726,0.29123076923076924,0.0,500
东莞市,东莞,4517,1719,32,29,7,0.2413793103448276,0.7586206896551724,0.018344827586206897,0.0,0.0,0.06896551724137931,13.157894736842106,0.2230344827586207,0.0,500
东莞市,东莞,5297,1719,33,13,8,0.6153846153846154,0.38461538461538464,0.017230769230769234,0.0,0.0,0.07692307692307693,35.71428571428571,0.5981538461538461,0.0,500
中山市,中山,353,921,21,10,3,0.3,0.7,0.0246,0.0,0.0,0.1,12.195121951219512,0.2754,0.002,500
中山市,中山,1788,921,21,4,0,0.0,1.0,0.021,0.0,0.0,0.25,0.0,-0.021,1.0,500
中山市,中山,5927,921,20,7,0,0.0,1.0,0.022,0.0,0.0,0.14285714285714285,0.0,-0.022,1.0,500
临沂市,临沂,103,4416,42,21,4,0.19047619047619047,0.8095238095238095,0.009428571428571427,0.0,0.0,0.047619047619047616,20.202020202020204,0.18104761904761904,0.0,500
临沂市,临沂,3467,4416,43,8,0,0.0,1.0,0.0105,0.0,0.0,0.125,0.0,-0.0105,1.0,500
临沂市,临沂,4955,4416,39,47,4,0.0851063829787234,0.9148936170212766,0.009021276595744681,0.0,0.0,0.0425531914893617,9.433962264150942,0.07608510638297872,0.002,500
丽水市,丽水,3852,430,2,8,1,0.125,0.875,0.0045,0.0,0.0,0.0,27.77777777777778,0.1205,0.034,500
乌海市,乌海,3531,481,8,29,5,0.1724137931034483,0.8275862068965517,0.017724137931034483,0.0,0.0,0.06896551724137931,9.72762645914397,0.15468965517241381,0.0,500
乌海市,乌海,5047,481,10,12,5,0.4166666666666667,0.5833333333333334,0.01933333333333333,0.0,0.0,0.08333333333333333,21.55172413793104,0.39733333333333337,0.0,500
乐山市,乐山,4082,395,11,3,1,0.3333333333333333,0.6666666666666666,0.024666666666666663,0.0,0.0,0.3333333333333333,13.513513513513514,0.30866666666666664,0.072,500
乐山市,乐山,4128,395,11,15,8,0.5333333333333333,0.4666666666666667,0.027466666666666667,0.0,0.0,0.13333333333333333,19.41747572815534,0.5058666666666667,0.0,500
九江市,九江,1835,871,9,22,4,0.18181818181818182,0.8181818181818182,0.010181818181818184,0.0,0.0,0.045454545454545456,17.857142857142854,0.17163636363636364,0.0,500
九江市,九江,2358,871,11,3,1,0.3333333333333333,0.6666666666666666,0.009333333333333332,0.0,0.0,0.0,35.714285714285715,0.32399999999999995,0.028,500
九江市,九江,5237,871,11,1,1,1.0,0.0,0.012,0.0,0.0,0.0,83.33333333333333,0.988,0.012,500
伊春市,伊春,3317,727,0,4,0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,500
佛山市,佛山,3027,2002,30,96,18,0.1875,0.8125,0.014645833333333332,0.010416666666666666,0.0,0.03125,12.802275960170698,0.17285416666666667,0.0,500
佛山市,佛山,4519,2002,42,7,4,0.5714285714285714,0.42857142857142855,0.024,0.0,0.0,0.14285714285714285,23.809523809523807,0.5474285714285714,0.0,500
佛山市,佛山,5366,2002,40,27,5,0.18518518518518517,0.8148148148148148,0.018074074074074072,0.0,0.0,0.07407407407407407,10.245901639344263,0.1671111111111111,0.0,500
保定市,保定,1947,5578,32,24,9,0.375,0.625,0.006083333333333333,0.0,0.0,0.041666666666666664,61.64383561643836,0.36891666666666667,0.0,500
保定市,保定,3267,5578,33,5,1,0.2,0.8,0.0028000000000000004,0.0,0.0,0.0,71.42857142857142,0.19720000000000001,0.014,500
保定市,保定,3359,5578,32,2,0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,-0.01,1.0,500
信阳市,信阳,4805,1849,12,11,1,0.09090909090909091,0.9090909090909091,0.006,0.0,0.0,0.09090909090909091,15.151515151515152,0.0849090909090909,0.066,500
信阳市,信阳,5738,1849,13,3,0,0.0,1.0,0.007333333333333332,0.0,0.0,0.0,0.0,-0.007333333333333332,1.0,500
儋州市,儋州,2104,130,2,5,0,0.0,1.0,0.013600000000000001,0.0,0.0,0.2,0.0,-0.013600000000000001,1.0,500
六安市,六安,1809,1286,13,6,2,0.3333333333333333,0.6666666666666666,0.007333333333333333,0.0,0.0,0.0,45.45454545454545,0.32599999999999996,0.002,500
六安市,六安,3331,1286,12,6,1,0.16666666666666666,0.8333333333333334,0.008333333333333331,0.0,0.0,0.0,20.000000000000004,0.15833333333333333,0.048,500
六安市,六安,4801,1286,3,56,0,0.0,1.0,0.002,0.0,0.0,0.017857142857142856,0.0,-0.002,1.0,500
兰州市,兰州,24,1222,20,6,2,0.3333333333333333,0.6666666666666666,0.014666666666666666,0.0,0.0,0.16666666666666666,22.727272727272727,0.31866666666666665,0.004,500
兰州市,兰州,3281,1222,14,66,6,0.09090909090909091,0.9090909090909091,0.01109090909090909,0.015151515151515152,0.0,0.030303030303030304,8.196721311475411,0.07981818181818182,0.0,500
北京,北京,150,6619,175,54,18,0.3333333333333333,0.6666666666666666,0.025814814814814815,0.018518518518518517,0.0,0.05648148148148063,12.91248206599713,0.3075185185185185,0.0,500
北京,北京,1926,6619,166,157,37,0.2356687898089172,0.7643312101910829,0.02494267515923567,0.025477707006369428,0.006369426751592357,0.044585987261146494,9.448416751787537,0.21072611464968152,0.0,500
北京,北京,3262,6619,165,173,32,0.18497109826589594,0.815028901734104,0.02467052023121387,0.023121387283236993,0.005780346820809248,0.046242774566473986,7.497656982193066,0.16030057803468206,0.0,500
北京,北京,3308,6619,176,31,7,0.22580645161290322,0.7741935483870968,0.026838709677419352,0.03225806451612903,0.0,0.06451612903225806,8.413461538461538,0.19896774193548386,0.0,500
北京,北京,3369,6619,173,72,12,0.16666666666666666,0.8333333333333334,0.026305555555555558,0.027777777777777776,0.0,0.05555555555555555,6.335797254487855,0.1403611111111111,0.0,500
北京,北京,7098,6619,139,318,41,0.1289308176100629,0.8710691823899371,0.020823899371069182,0.018867924528301886,0.009433962264150943,0.03459119496855346,6.191482935668982,0.10810691823899371,0.0,500
北海市,北海,265,218,7,9,4,0.4444444444444444,0.5555555555555556,0.029111111111111112,0.0,0.0,0.1111111111111111,15.267175572519083,0.41533333333333333,0.0,500
北海市,北海,320,218,8,10,7,0.7,0.3,0.0338,0.0,0.0,0.1,20.710059171597635,0.6661999999999999,0.0,500
北海市,北海,600,218,7,9,3,0.3333333333333333,0.6666666666666666,0.03088888888888889,0.0,0.0,0.1111111111111111,10.791366906474819,0.3024444444444444,0.004,500
